YEAR,region,gender,<=22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60+
1974,2,2,0,0,0.001,0.001,0.007,0.01,0.051,0.112,0.111,0.104,0.069,0.05,0.042,0.024,0.01,0.005,0.005,0.001,0,0
1975,2,2,0,0,0,0,0.003,0.016,0.035,0.081,0.114,0.096,0.076,0.059,0.04,0.024,0.008,0.014,0.007,0.004,0,0
1976,2,2,0,0,0,0.001,0.003,0.03,0.061,0.083,0.088,0.107,0.08,0.061,0.037,0.02,0.011,0.004,0,0,0.001,0
1977,2,2,0,0,0,0.002,0.005,0.019,0.048,0.073,0.086,0.076,0.077,0.051,0.038,0.025,0.009,0.004,0.002,0.001,0.001,0
1978,2,2,0,0,0,0,0.004,0.021,0.026,0.055,0.083,0.083,0.087,0.068,0.049,0.023,0.011,0.003,0.003,0,0.001,0
1979,2,2,0,0.001,0,0,0.001,0.012,0.029,0.076,0.083,0.078,0.075,0.064,0.058,0.022,0.013,0.005,0.005,0.002,0.001,0
1980,2,2,0,0,0,0.002,0.007,0.025,0.054,0.086,0.091,0.085,0.067,0.053,0.036,0.02,0.011,0.005,0.002,0.002,0,0.001
1981,2,2,0,0,0,0.003,0.005,0.015,0.042,0.056,0.072,0.076,0.069,0.057,0.052,0.023,0.015,0.007,0.002,0.002,0,0
1982,2,2,0,0,0,0,0.008,0.027,0.035,0.053,0.061,0.062,0.071,0.06,0.045,0.017,0.009,0.003,0.001,0.001,0,0
1983,2,2,0,0,0.001,0.002,0.01,0.038,0.072,0.079,0.071,0.063,0.058,0.05,0.037,0.02,0.012,0.005,0.004,0.001,0,0
1984,2,2,0,0,0,0.001,0.012,0.051,0.072,0.081,0.07,0.052,0.064,0.051,0.041,0.019,0.011,0.005,0.002,0.001,0.001,0
1985,2,2,0,0,0,0.002,0.011,0.038,0.072,0.084,0.076,0.063,0.057,0.042,0.032,0.018,0.01,0.003,0.002,0,0,0
1986,2,2,0,0,0.001,0.003,0.021,0.044,0.074,0.081,0.081,0.058,0.053,0.052,0.027,0.017,0.008,0.006,0.003,0,0.001,0
1987,2,2,0,0,0.002,0.007,0.029,0.049,0.08,0.067,0.06,0.059,0.053,0.039,0.023,0.016,0.008,0.002,0.001,0.001,0.002,0
1988,2,2,0,0,0.001,0.007,0.022,0.051,0.075,0.077,0.071,0.073,0.063,0.049,0.031,0.019,0.004,0.002,0.001,0,0,0
1989,2,2,0,0,0.001,0.009,0.024,0.049,0.06,0.065,0.069,0.067,0.071,0.07,0.038,0.019,0.007,0.003,0,0.001,0,0
1990,2,2,0,0,0.003,0.012,0.024,0.046,0.062,0.062,0.069,0.061,0.063,0.059,0.035,0.017,0.007,0.003,0.001,0,0,0
1991,2,2,0,0,0.002,0.007,0.021,0.048,0.073,0.075,0.07,0.057,0.052,0.035,0.027,0.011,0.005,0.003,0.001,0,0,0
1992,2,2,0,0,0.001,0.005,0.022,0.048,0.065,0.079,0.066,0.064,0.056,0.049,0.03,0.017,0.009,0.003,0.002,0.001,0,0
1993,2,2,0,0,0.002,0.01,0.027,0.045,0.063,0.076,0.059,0.067,0.046,0.053,0.031,0.018,0.009,0.004,0.002,0,0,0
