YEAR,gender,part,effn,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110
1979,1,2,175.2,0,0,0,0,0,0,0,0,1,3,1.5,1.5,5.5,3.5,4.5,8,19.5,29.5,31,30,26,13.5,12.5,16.5,10,12.5,2.5,9.5,9,8.5,5.5,7,2.5,2.5,0,1,0.5,0.5,0,0.5,0,2
1980,1,2,275.3,0,0,0,0,0,2,4,9,5,8,9,16,20,28,41,44,44,16,27,22,29,15,21,15,19,13,16.5,11,11.5,8,3.5,5.5,4,6.5,4.5,10.5,4,3,1.5,0.5,1,1
1981,1,2,148.3,0,0,0,0,0,1,0,2,3,6,6,6,14,29,48,49,42.5,35,36.5,27,28,32,21,25,24.5,19.5,14,9.5,10.5,4,3.5,2.5,2,0,1,0,0.5,0,0,0,0,1.5
1982,1,2,532.4,0,0,0,3,0,1,4.5,8,11,11.5,18,36.5,61,63,67.5,109.5,92.5,84.5,83,78.5,68,49,43,27.5,23,14,11.5,10.5,4.5,1,0,1.5,2.5,1.5,1.5,1.5,2.5,0,1,0,0,3.5
1983,1,2,147.8,0,0,0,0,0,0,0,1,0,0,3,4,4,8,7,7,11,16,21,27,21,11,6,6,5,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,2,130.7,0,0,0,0,0,0,0,0,1,0,2,0,6,3,6,1,6,6,10,14,11,16,14,13,6,6,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,2,147.9,0,0,0,0,0,0,0,1,1,1,1,3,7,13,12,10,8,6,6,3,7,6,5,7,3,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,2,224.6,0,0,0,0,0,0,0,1,0,0,1,1,6,13,16,13,24,22,26,17.5,19,15,9,8,4,6,7,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0.5
1987,1,2,213.4,0,0,0,0,0,0,0,0,2,4,5.5,11.5,15,16,18,16,22.5,24,17,25,29.5,17,10,6,5,4,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,1,2,208.5,0,0,0,0,0,1,0,1,0,0,4,10,37,60,69,41,18,17,15,10,14,14,11,8,5,4,1,4,1,2,2,0,0,1,0,0,0,0,0,0,0,0
1989,1,2,278.7,0,0,0,0,0,0,0,0,0,1,0,3,5,8.5,27,49,66,65.5,50,35.5,15.5,13,8.5,8.5,9.5,12.5,8,6.5,7.5,4,6,4,3,3.5,1.5,2,1,0,0,0,0.5,0
1990,1,2,231.3,0,0,0,0,0,0,0,1,1,3,5,6,0,11,13,22,27,28.5,50,44,35,15,12,8,11,6,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0
1991,1,2,220.5,0,0,0,1.5,0,1,3,6,9,8,9,12.5,12,8.5,12.5,7.5,8,9,17,24.5,15,27,12,11,7,10.5,6,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,1,2,435.3,1,3,5,2,6.5,18.5,29,46.5,59,37,29.5,47.5,34,54.5,45,43.5,31.5,35.5,23,19.5,17,14,16.5,9.5,9,6,3,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
